decision_time,purchase_amount,manual_override,client_id,refund_amount,proof_provided,refund_request_id,support_user_id,approval_status,decision_time_minutes,purchase_id,product_category,return_reason
04/25/2026 11:02,"$1,425.74",N,buyer_1639,$978.08,N,refund_req_303062,agent_013,Approved,,purchase_103062,APPLIANCES,not_working
05/08/2026 17:11,"$1,012.14",N,buyer_1301,$517.50,Y,refund_req_302103,agent_008,Approved,49,purchase_102103,BOOKS,changed_mind
05/12/2026 14:29,$982.88,N,buyer_0790,$982.88,N,refund_req_303429,agent_023,Approved,46,purchase_103429,LUXURY,item_not_as_described
04/04/2026 23:11,$958.84,Y,buyer_0588,$871.74,N,refund_req_303988,agent_008,Approved,14,purchase_103988,APPLIANCES,damaged_item
04/26/2026 21:16,"$1,610.56",Y,buyer_0006,"$1,118.76",N,refund_req_303034,agent_029,Approved,45,purchase_103034,ELECTRONICS,missing_accessory
04/24/2026 00:39,$163.24,N,buyer_0073,$151.96,Y,refund_req_303632,agent_101,Approved,4,purchase_103632,CLOTHING,item_not_as_described
04/15/2026 18:14,"$2,609.74",N,buyer_1513,"$2,452.91",Y,refund_req_303737,agent_102,Approved,1,purchase_103737,LUXURY,damaged_item
06/04/2026 19:29,"$1,257.77",N,buyer_1359,$466.09,Y,refund_req_302356,agent_008,Approved,53,purchase_102356,Sports,damaged_item
04/11/2026 16:15,"$1,279.35",Y,buyer_9906,"$1,098.88",N,refund_req_304885,agent_902, Approved ,1,purchase_104885,ELECTRONICS,
04/12/2026 13:43,$62.93,N,buyer_0092,$46.93,Y,refund_req_302617,agent_005,Approved,98,purchase_102617,BOOKS, changed_mind 
04/25/2026 19:32,"$1,187.88",N,buyer_0095,$562.43,Y,refund_req_302013,agent_030,Approved,61,purchase_102013,LUXURY,changed_mind
06/18/2026 09:18,$117.15,N,buyer_1451,$57.50,N,refund_req_302837,agent_029,Rejected,53,purchase_102837,SPORTS,
05/19/2026 23:06,$254.72,N,buyer_0704,$53.87,N,refund_req_300562,agent_018,Rejected,60,purchase_100562,SPORTS,  wrong_size  
04/08/2026 19:40,$183.38,N,buyer_1746,$43.54,N,refund_req_302466,agent_001,Rejected,29,purchase_102466,HOME,missing_part
06/11/2026 16:59,"$1,599.59",N,buyer_0106,"$1,599.59",N,refund_req_303424,agent_026,Approved,42,purchase_103424,appliances,damaged_item
04/07/2026 20:42,$192.00,N,buyer_0278,$42.33,N,refund_req_302048,agent_005,Approved,62,purchase_102048,HOME,item_not_as_described
04/30/2026 18:42,$559.64,Y,buyer_0344,$265.37,Y,refund_req_300384,agent_028,Approved,67,purchase_100384,HOME,damaged_item
04/23/2026 22:36,"$2,165.50",Y,buyer_9906,"$1,891.47",N,refund_req_304843,agent_902,Approved,5,purchase_104843,ELECTRONICS,missing_accessory
04/23/2026 05:09,$662.72,N,buyer_9001,$557.11,,refund_req_304226,agent_020,Approved,30,purchase_104226,Appliances,damaged_item
04/19/2026 08:15,"$1,810.48",N,buyer_1984,$843.62,N,refund_req_302088,agent_001, Approved ,62,purchase_102088,electronics,not_working
06/02/2026 17:08,"$2,276.96",N,buyer_0522,$966.56,Y,refund_req_302025,agent_023,Approved,118,purchase_102025,LUXURY,changed_mind
04/07/2026 00:00,"$1,380.57",N,buyer_1348,$398.96,N,refund_req_301303,agent_003,Approved,63,purchase_101303,APPLIANCES,not_working
06/15/2026 18:00,$102.33,N,buyer_1901,$60.70,Y,refund_req_302799,agent_002,Approved,102,purchase_102799,CLOTHING,changed_mind
05/22/2026 02:58,$663.35,N,buyer_1321,$186.67,N,refund_req_300753,agent_016,Approved,42,purchase_100753,APPLIANCES,missing_part
05/10/2026 17:11,$488.40,N,buyer_0113,$368.05,Y,refund_req_301713,agent_003, Approved ,62,purchase_101713,LUXURY, item_not_as_described 
05/20/2026 17:57,"$1,006.77",N,buyer_1688,$942.65,N,refund_req_304346,agent_703,Approved,23,purchase_104346,ELECTRONICS,damaged_item
06/10/2026 12:08,$308.33,N,buyer_1287,$75.04,N,refund_req_300700,agent_029,Rejected,71,purchase_100700,SPORTS,damaged_item
05/27/2026 04:11,"$1,389.65",N,buyer_1944,"$1,389.65",Y,refund_req_303420,agent_022,Approved,56,purchase_103420,ELECTRONICS,damaged_item
04/17/2026 00:41,$307.23,N,buyer_0652,$103.39,Y,refund_req_302306,agent_025,Approved,34,purchase_102306,APPLIANCES,missing_part
06/04/2026 05:52,$58.90,N,buyer_1544,$41.44,Y,refund_req_300862,agent_011,Approved,66,purchase_100862,SPORTS,damaged_item
06/16/2026 14:13,$116.14,N,buyer_0063,$39.67,N,refund_req_301716,agent_018,Approved,73,purchase_101716,FASHION,item_not_as_described
04/22/2026 10:29,$126.96,N,buyer_0602,$39.12,Y,refund_req_301507,agent_022,Approved,88,purchase_101507,BEAUTY,changed_mind
06/17/2026 20:32,"$1,101.80",N,buyer_1666,$261.07,Y,refund_req_301251,agent_017,Approved,56,purchase_101251,SPORTS,wrong_size
04/02/2026 12:14,$150.73,N,buyer_0512,$86.10,Y,refund_req_300927,agent_003,Approved,71,purchase_100927,SPORTS, damaged_item 
04/14/2026 22:15,"$1,426.39",Y,buyer_1443,$759.16,N,refund_req_304519,agent_702, Approved ,24,purchase_104519,ELECTRONICS,damaged_item
06/10/2026 21:04,"$1,770.14",Y,buyer_9902,"$1,671.80",N,refund_req_304880,agent_901, Approved ,6,purchase_104880, LUXURY ,damaged_item
06/15/2026 09:14,"$2,633.95",N,buyer_0643,"$2,633.95",Y,refund_req_303293,agent_005,Approved,62,purchase_103293,LUXURY,damaged_item
04/22/2026 19:13,$206.05,N,buyer_1642,$56.73,N,refund_req_300305,agent_012,Rejected,79,purchase_100305,SPORTS,wrong_size
05/18/2026 01:46,"$1,384.19",Y,buyer_0767,$960.59,N,refund_req_304428,agent_701,Approved,,purchase_104428,LUXURY,damaged_item
05/14/2026 14:02,"$1,560.63",N,buyer_1163,$331.86,N,refund_req_302577,agent_028,Approved,56,purchase_102577,ELECTRONICS,
04/11/2026 04:02,"$1,794.22",Y,buyer_0436,"$1,702.33",N,refund_req_303928,agent_102,Approved,18,purchase_103928,APPLIANCES,missing_part
04/07/2026 22:57,"$2,284.38",N,buyer_1540,"$1,895.34",N,refund_req_303112,agent_014,Approved,9,purchase_103112,LUXURY,changed_mind
05/29/2026 13:52,"$2,125.49",N,buyer_0123,"$1,572.68",Y,refund_req_304375,agent_702,Approved,10,purchase_104375,LUXURY,damaged_item
06/01/2026 22:22,$929.73,Y,buyer_1606,$439.70,Y,refund_req_302290,agent_025,Approved,79,purchase_102290,ELECTRONICS,
06/12/2026 21:22,"$1,679.62",Y,buyer_9903,"$1,549.04",N,refund_req_304870,agent_901,Approved,8,purchase_104870,ELECTRONICS,item_not_as_described
05/24/2026 21:26,$248.98,N,buyer_1717,$142.95,N,refund_req_301097,agent_019,Approved,81,purchase_101097,CLOTHING,changed_mind
04/30/2026 00:03,"$1,362.89",N,buyer_0405,$408.75,Y,refund_req_300774,agent_016,Approved,72,purchase_100774,APPLIANCES,not_working
04/12/2026 04:28,$265.89,N,buyer_1169,$180.31,N,refund_req_302295,agent_028,Rejected,33,purchase_102295,ELECTRONICS,missing_accessory
04/30/2026 22:01,$505.35,N,buyer_0707,$224.98,,refund_req_300066,agent_016,Rejected,89,purchase_100066, FASHION ,item_not_as_described
04/26/2026 07:05,"$1,358.72",Y,buyer_1942,"$1,341.26",N,refund_req_303981,agent_101,Approved,6,purchase_103981,LUXURY,item_not_as_described
05/05/2026 08:55,$174.44,N,buyer_0816,$92.32,N,refund_req_302667,agent_024,Approved,,purchase_102667,HOME,damaged_item
04/07/2026 19:10,$157.30,N,buyer_1550,$141.31,,refund_req_303734,agent_103,Approved,4,purchase_103734,BEAUTY,
06/18/2026 16:38,$977.18,Y,buyer_9904,$889.98,N,refund_req_304877,agent_902,Approved,5,purchase_104877,ELECTRONICS,  not_working  
05/20/2026 02:58,"$1,135.42",N,buyer_1128,$458.05,N,refund_req_301572,agent_018, Rejected ,46,purchase_101572,  BOOKS  ,damaged_item
04/21/2026 02:27,$363.83,N,buyer_1421,$161.32,Y,refund_req_301086,agent_008,APPROVED,38,purchase_101086,FASHION,
05/15/2026 14:34,$38.84,N,buyer_1667,$14.31,Y,refund_req_301844,agent_029,Approved,33,purchase_101844,SPORTS,wrong_size
05/27/2026 18:30,$167.72,N,buyer_1734,$54.13,Y,refund_req_301874,agent_027,Approved,52,purchase_101874,CLOTHING,
05/09/2026 16:08,"$1,797.88",N,buyer_1031,"$1,094.91",N,refund_req_303181,agent_013,Approved,33,purchase_103181,APPLIANCES,not_working
06/06/2026 23:31,"$1,267.28",Y,buyer_0501,"$1,112.78",Y,refund_req_304002,agent_005,Approved,34,purchase_104002,APPLIANCES,missing_part
05/02/2026 15:21,$379.80,N,buyer_1828,$221.62,N,refund_req_301914,agent_007,Rejected,80,purchase_101914,HOME,damaged_item
04/26/2026 12:31,"$1,010.10",N,buyer_1171,$314.99,Y,refund_req_301325,agent_021,Approved,70,purchase_101325,CLOTHING,item_not_as_described
04/26/2026 06:51,"$2,191.75",Y,buyer_0430,$630.16,Y,refund_req_302529,agent_001, Approved ,85,purchase_102529,ELECTRONICS, damaged_item 
04/23/2026 03:26,"$1,619.74",N,buyer_0675,$593.84,N,refund_req_302329,agent_007, Rejected ,80,purchase_102329,ELECTRONICS,missing_accessory
04/02/2026 13:10,"$1,976.08",N,buyer_0082,"$1,472.78",Y,refund_req_301565,agent_019,Approved,58,purchase_101565,ELECTRONICS,item_not_as_described
04/19/2026 19:56,$107.41,N,buyer_9006,$59.51,N,refund_req_304295,agent_013,Approved,27,purchase_104295,BEAUTY,changed_mind
05/24/2026 18:17,$204.64,N,buyer_9003,$183.71,N,refund_req_304300,agent_018,Approved,23,purchase_104300,CLOTHING,wrong_size
05/22/2026 23:28,$25.86,N,buyer_1800,$6.20,Y,refund_req_301772,agent_001,APPROVED,75,purchase_101772,BOOKS, wrong_item_received 
06/20/2026 18:11,"$1,275.79",N,buyer_0673,$897.60,Y,refund_req_301899,agent_003,Approved,59,purchase_101899,FASHION,item_not_as_described
06/02/2026 15:24,$42.01,N,buyer_1614,$20.29,Y,refund_req_302715,agent_011,Approved,69,purchase_102715,books,wrong_item_received
06/08/2026 21:05,$225.21,N,buyer_0907,$221.55,Y,refund_req_303719,agent_101,Approved,4,purchase_103719,CLOTHING,wrong_size
06/10/2026 23:28,$35.02,N,buyer_1078,$22.06,Y,refund_req_302498,agent_028,Rejected,73,purchase_102498,BOOKS,  damaged_item  
04/26/2026 04:04,$51.46,N,buyer_1881,$23.86,Y,refund_req_301546,agent_028,Approved,81,purchase_101546,BOOKS,wrong_item_received
06/08/2026 01:57,$393.93,N,buyer_0270,$104.00,N,refund_req_302831,agent_028,Approved,77,purchase_102831,SPORTS,damaged_item
05/07/2026 22:59,$202.04,N,buyer_1327,$59.09,N,refund_req_300056,agent_008,  Approved  ,60,purchase_100056,FASHION,item_not_as_described
05/07/2026 19:09,$83.54,N,buyer_0558,$62.51,Y,refund_req_302271,agent_020,Rejected,,purchase_102271,BOOKS,damaged_item
04/25/2026 20:56,$226.58,N,buyer_9002,$194.16,Y,refund_req_304179,agent_006,Approved,26,purchase_104179,CLOTHING,changed_mind
05/05/2026 04:30,$274.20,N,buyer_1196,$237.62,Y,refund_req_304539,agent_701,Approved,11,purchase_104539,SPORTS,wrong_size
06/16/2026 20:35,"$1,472.64",N,buyer_0734,$907.70,N,refund_req_303601,agent_102,Approved,3,purchase_103601,APPLIANCES,not_working
05/29/2026 19:02,"$2,115.51",N,buyer_1444,"$1,394.93",N,refund_req_303192,agent_023,Approved,25,purchase_103192,LUXURY,changed_mind
04/26/2026 02:02,"$1,201.17",N,buyer_0775,$961.24,Y,refund_req_301376,agent_019,Approved,52,purchase_101376,APPLIANCES,damaged_item
05/03/2026 15:48,"$1,214.52",Y,buyer_0539,$578.41,Y,refund_req_301502,agent_026,Approved,70,purchase_101502,APPLIANCES,not_working
06/09/2026 07:49,"$2,053.55",N,buyer_1523,"$1,489.70",N,refund_req_300768,agent_003,  Approved  ,65,purchase_100768,ELECTRONICS,damaged_item
05/09/2026 12:55,$854.45,N,buyer_1075,$253.76,,refund_req_300177,agent_026,Approved,51,purchase_100177, APPLIANCES ,damaged_item
04/09/2026 12:09,"$1,794.82",N,buyer_1138,$671.94,,refund_req_302856,agent_028, Rejected ,90,purchase_102856,ELECTRONICS,item_not_as_described
05/19/2026 20:13,$181.93,N,buyer_0220,$152.47,N,refund_req_300402,agent_026,Rejected,38,purchase_100402,FASHION,changed_mind
05/18/2026 08:33,"$1,008.85",N,buyer_0245,$730.35,N,refund_req_301059,agent_005,Rejected,105,purchase_101059,ELECTRONICS,not_working
04/02/2026 01:51,$369.20,N,buyer_1862,$266.95,Y,refund_req_300390,agent_010,Approved,39,purchase_100390,  Fashion  ,changed_mind
04/25/2026 19:06,"$1,103.18",Y,buyer_9905,"$1,031.52",N,refund_req_304789,agent_902,Approved,1,purchase_104789,APPLIANCES,missing_part
06/10/2026 07:13,"$1,061.40",N,buyer_0958,$576.45,N,refund_req_302814,agent_025,Approved,64,purchase_102814,HOME,damaged_item
04/25/2026 19:54,$32.18,N,buyer_9005,$29.83,N,refund_req_304110,agent_009,Approved,11,purchase_104110, BEAUTY ,allergic_reaction
05/26/2026 02:47,$393.17,N,buyer_1979,$316.68,Y,refund_req_300448,agent_006,Approved,42,purchase_100448,FASHION,changed_mind
04/19/2026 20:03,$155.26,N,buyer_0271,$110.70,Y,refund_req_300529,agent_019,Approved,46,purchase_100529,SPORTS,damaged_item
06/17/2026 22:08,$772.65,N,buyer_0658,$763.11,N,refund_req_303666,agent_101,Approved,5,purchase_103666,ELECTRONICS,not_working
06/06/2026 09:08,$28.76,N,buyer_900,$14.42,Y,refund_req_3026,agent_003,Approved,20,purchase_1026, CLOTHING ,wrong_size
05/01/2026 16:38,"$1,894.51",N,buyer_1397,"$1,173.08",N,refund_req_303118,agent_011,Approved,20,purchase_103118,LUXURY,changed_mind
05/06/2026 16:35,$48.55,N,buyer_1781,$31.85,Y,refund_req_301094,agent_008,Approved,41,purchase_101094,BOOKS,wrong_item_received
05/27/2026 17:51,"$2,153.25",N,buyer_0707,"$1,654.33",N,refund_req_300537,agent_010,Approved,,purchase_100537,ELECTRONICS,item_not_as_described
04/17/2026 20:44,$479.72,N,buyer_0801,$283.33,N,refund_req_301608,agent_025,Approved,46,purchase_101608,FASHION,changed_mind
04/10/2026 23:55,"$2,274.95",N,buyer_0524,"$2,094.12",Y,refund_req_303660,agent_101,Approved,5,purchase_103660,LUXURY,damaged_item
05/03/2026 15:23,"$2,036.22",Y,buyer_0961,"$1,545.16",N,refund_req_303878,agent_102,Approved,13,purchase_103878,LUXURY,changed_mind
05/26/2026 17:24,$96.69,N,buyer_0101,$55.72,N,refund_req_301388,agent_019,Approved,49,purchase_101388,SPORTS,damaged_item
06/13/2026 16:43,"$1,098.48",N,buyer_0548,$376.08,,refund_req_301875,agent_025,Approved,48,purchase_101875,SPORTS,wrong_size
06/13/2026 04:13,$997.72,Y,buyer_1931,$885.20,Y,refund_req_303919,agent_029,Approved,31,purchase_103919,ELECTRONICS,item_not_as_described
04/24/2026 15:29,$154.26,N,buyer_0365,$106.30,N,refund_req_302936,agent_019,Rejected,63,purchase_102936,BEAUTY,allergic_reaction
05/10/2026 19:23,$121.49,N,buyer_8003,$97.60,N,refund_req_304653,agent_803,Approved,24,purchase_104653,FASHION,item_not_as_described
05/11/2026 15:04,$68.94,Y,buyer_0422,$48.51,Y,refund_req_304453,agent_702,APPROVED,25,purchase_104453,BEAUTY,allergic_reaction
06/15/2026 23:15,"$2,794.53",Y,buyer_1896,"$2,015.37",N,refund_req_304045,agent_018,Approved,28,purchase_104045,LUXURY,damaged_item
05/21/2026 06:32,"$1,446.64",N,buyer_1156,"$1,446.64",Y,refund_req_303439,agent_002,Approved,18,purchase_103439,ELECTRONICS,missing_accessory
05/04/2026 19:02,$979.84,Y,buyer_0051,$905.53,N,refund_req_303960,agent_006,Approved,14,purchase_103960,LUXURY,damaged_item
04/17/2026 18:10,"$1,497.61",N,buyer_1417,$827.40,N,refund_req_301398,agent_020,Rejected,77,purchase_101398,ELECTRONICS,missing_accessory
06/16/2026 10:53,$902.48,N,buyer_1529,$446.61,Y,refund_req_300096,agent_003,Approved,69,purchase_100096,ELECTRONICS,missing_accessory
06/10/2026 21:36,$978.28,N,buyer_8001,$663.63,N,refund_req_304744,agent_801,Approved,10,purchase_104744,BEAUTY,damaged_item
05/29/2026 08:01,$577.35,N,buyer_1359,$479.61,N,refund_req_301000,agent_005,Approved,61,purchase_101000,HOME,missing_part
04/11/2026 15:05,$79.36,N,buyer_1429,$36.66,N,refund_req_301020,agent_018,Rejected,62,purchase_101020,BEAUTY,allergic_reaction
06/01/2026 00:25,$84.42,N,buyer_8002,$68.67,N,refund_req_304667,agent_802,Approved,9,purchase_104667,BEAUTY,changed_mind
06/10/2026 20:53,"$2,450.53",N,buyer_9002,"$2,298.94",N,refund_req_304099,agent_019,  Approved  ,10,purchase_104099,LUXURY,damaged_item
05/26/2026 03:09,$23.59,N,buyer_1839,$11.31,Y,refund_req_301364,agent_009,Approved,84,purchase_101364,BEAUTY,allergic_reaction
05/10/2026 01:21,$44.63,N,buyer_1527,$20.89,Y,refund_req_300313,agent_016,Approved,119,purchase_100313,CLOTHING,
04/26/2026 23:28,"$1,020.36",N,buyer_0724,$707.06,N,refund_req_303106,agent_021,Approved,31,purchase_103106,ELECTRONICS,item_not_as_described
